article,article_sentiment,article_score
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.9999521
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,1.0
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.99999976
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Up to 2,000 people have already been rescued in the area, Texan authorities say. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,6.0051415e-11
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Up to 2,000 people have already been rescued in the area, Texan authorities say. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,3.5926954e-05
"Theresa May will announce new measures this week Businesses who pay excessive salaries to senior executives represent the ""unacceptable face of capitalism"", Prime Minister Theresa May has said. The ""excesses"" of some bosses was undermining confidence and ""damaging the social fabric of our country"", she wrotein the Mail on Sunday,external. Firms that face shareholder revolts over salaries and bonuses will be named on a new public register, Mrs May said. She also said firms could decide how workers are represented in boardrooms. The Conservatives' manifesto said executive pay should be approved byan annual vote of shareholders. Mrs May's article does not mention this commitment, but instead says firms that have a ""shareholder revolt"" on pay will be named on a new public register. The Department for Business, Energy and Industrial Strategy said that a ""revolt"" would be defined as 20% of shareholder opposition. UK trade body the Investment Association has been appointed to set up the public register, which it said would be ""the world's first of its kind"". It said it would launch the register by the end of the year. Firms named on the list would need to detail how they intend to address investors' concerns, it added. Investment Association chief executive Chris Cummings said the register would hold the UK's ""biggest businesses to account"". ""The creation of the public register on shareholder voting is an important step in increasing accountability and transparency of those listed companies that see significant shareholder rebellions during the AGM season,"" he added. Stefan Stern, director of independent think tank, the High Pay Centre, told the BBC: ""These shareholder votes are already in the public domain, and reported by the media. ""But the symbolism of being named on a list is something that will get the attention of company boards. ""They won't want to be on this list, for as well as the adverse attention it brings, it could also make them potentially vulnerable to hostile investors."" By Joe Lynam, BBC business correspondent The Royal Dutch Shell chief executive Ben van Beurden saw his total pay packagesoar by 54% to Â£7mlast year. The Reckitt Benckiser boss Rakesh Kapoor took a pay cut of one third in 2016 - and still pocketed Â£14.6m. But they are both dwarfed by Sir Martin Sorrell. The advertising giant WPP paid him Â£42m last year andÂ£210m over the past five years. At the moment, shareholders have a vote on these payouts every year, but it is not binding on the executive team. Even if it were, in order to change how bosses are paid it would still need a sustained change in culture by the giant institutional investors - as they own most of the shares in listed companies. Pension funds and banks would need to consistently vote in large numbers against the chief executive's pay and that - despite regular talk of a ""shareholder spring"" - has yet to happen. Mr Stern said that Mrs May's proposals were ""a step in the right direction"", but that more needed to be done to address the systemic issue of high executive pay. Mrs May said new measures - to be announced this week - would also ensure workers' voices were ""properly heard in the boardroom"". She said the government will set an ""expectation"" that publicly-listed companies have in place an employee advisory panel, or an employee representative on their boards. Mrs May said most of the UK's biggest businesses invested in their workforces and looked after the interests of employees and investors. However, she said that ""too often in recent years we have also seen another, unacceptable, face of capitalism"". A ""minority of firms are falling short of the high standards we expect of them,"" she added. ""Some have deliberately broken rules that are designed to protect their workers. ""Others have ignored the concerns of their shareholders by awarding pay rises to bosses that far outstrip the company's performance."" Get news from the BBC in your inbox, each weekday morning,external Earlier this year theÂ£48m pay package of WPP's Sir Martin Sorrellwas rejected by one in five shareholders at the firm. It was the seventh year in a row that more than a fifth of shareholders voted against his pay. In a non-binding vote last year,BP shareholders rejected a pay packageof almost Â£14m for chief executive Bob Dudley. This month, a report revealed the pay of top chief executives'had fallen in the past year. However, the High Pay Centre's research said there was still ""a huge gap"" between the pay of the bosses of FTSE 100 companies and the rest of their staff. Bosses' fall in pay 'limited and late' WPP boss Â£48m pay rejected by a fifth BP investors reject chief's Â£14m pay Shareholders reject Pearson chief's pay UK inflation unexpectedly dips to 2.5% in December South Korea impeached president arrested after investigators scale walls Obesity needs new definition beyond BMI, says global report Red Sea dive-boat survivors accuse authorities of cover up Chris Mason: Political heat map flashes red over Treasury They hired Banksy for Â£50 then painted over his mural 'We sing to them': LA stables turn Noah's Ark for fire rescue animals Fatbergs turned into perfume - inside Britain's bizarre new industrial revolution Almost 100 strikes hit Gaza 'humanitarian zone', BBC Verify analysis suggests LA fire victims fear new housing crisis Trapped in the dark for 35 hours - Red Sea dive-boat survivors tell of terrifying escapes 'Your husband's being tortured, and it's your fault' The classic reality show starring Paris Hilton Can jet setters Paris Hilton and Nicole Richie give up their A-list lifestyles? Explore the brilliant mind of Socrates Naomi Alderman investigates notable thinkers with stories which celebrate the human mind The legendary manager's stunning career Friends and foes on the incredible career of Sir Alex Ferguson, Britain's most decorated football manager How is John planning for his retirement? Majestic Mad Dads, some clownery, blue biros and special flake dust also feature in this episode Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.07279515
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Up to 2,000 people have already been rescued in the area, Texan authorities say. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,2.8429267e-06
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Up to 2,000 people have already been rescued in the area, Texan authorities say. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.073834606
"Graham's doctor suggested he join a local walking group in Stockport two years ago. Graham Ward was 60 when he was diagnosed with type-2 diabetes. It came after decades of eating and drinking too much in a high-stress, sedentary job: ""It was an explosion waiting to happen,"" he said. For Graham, whose wife had become increasingly disabled through multiple sclerosis, the diagnosis was a wake-up call. ""I need to be able to help her - and I need to be around for longer,"" he said. Graham is not alone in his diagnosis. Public Health England estimates that 42% of 45- to 64-year-olds have a long-term health condition such as diabetes or heart disease. This week,it urged middle-aged people to walk more often and more briskly. It is encouraging those between the ages of 40 and 60 to start doing regular brisk walks of just 10 minutes a day. One in five middle-aged people is physically inactive, engaging in less than 30 minutes of exercise a week, it says. To help, the government agency is promoting a free app -Active 10,external- which can monitor the amount of brisk walking an individual does and provide tips on how to incorporate more of it into the daily routine. When he was diagnosed with Type 2 diabetes in 2015, Graham, pictured here with his wife, weighed 18 stone When Graham was diagnosed as a diabetic, he realised he needed to make changes: ""My clothes were getting tighter, and I was hearing how being overweight could affect my life and health in other ways,"" he said. Diabetes has been linked to other issues such as heart disease, stroke and kidney disease, causing a reduction in one's life expectancy. He said beforehand he had managed to turn a blind eye to this. ""When someone is in front of you telling you it's you, there's nowhere to hide,"" he said. ""They're not talking about the other millions of people out there."" Graham's doctor suggested he should join a local walking group in Stockport. ""I started and I was a bit nervous. With a couple of hills, it was more walking than I'd been doing,"" he said. He was talked into the 1.9 mile walk by the group leader. ""After the first time, I overcame all those fears."" He invested in a pair of new shoes and gradually increased his walks to reach five miles. Over a period of months, Graham graduated from walking three kilometres to eight kilometres ""It was a very quick improvement, once you realise after the first one or two that you don't become immediately breathless and that you can walk further from home than you thought,"" said Graham. ""I moved on from walking with that group, to walking by myself, walking further distances and the pounds started falling off me."" He used a pedometer to make sure he was reaching the recommended 10,000 steps a day. Now he does about 15,000 steps and has lost 50lb. ""My trousers were falling off me. I had to throw away all the clothes I owned,"" he said. Graham said the benefits were not only physical. ""I'm fitter, healthier, more confident.  When you start walking you see things in your area that you haven't seen before, such as discovering canal towpaths."" His advice to others is not to be ""disappointed if it doesn't happen in the first few weeks"". Now, he and his wife diet and swim together. ""When I'm playing with my grandchildren now, it's them that get tired before me,"" Graham said. Middle-aged told to walk faster X-PERTHealth Diabetes courses UK inflation unexpectedly dips to 2.5% in December South Korea impeached president arrested after investigators scale walls Obesity needs new definition beyond BMI, says global report Red Sea dive-boat survivors accuse authorities of cover up Chris Mason: Political heat map flashes red over Treasury They hired Banksy for Â£50 then painted over his mural 'We sing to them': LA stables turn Noah's Ark for fire rescue animals Fatbergs turned into perfume - inside Britain's bizarre new industrial revolution Almost 100 strikes hit Gaza 'humanitarian zone', BBC Verify analysis suggests LA fire victims fear new housing crisis Trapped in the dark for 35 hours - Red Sea dive-boat survivors tell of terrifying escapes 'Your husband's being tortured, and it's your fault' The classic reality show starring Paris Hilton Can jet setters Paris Hilton and Nicole Richie give up their A-list lifestyles? Explore the brilliant mind of Socrates Naomi Alderman investigates notable thinkers with stories which celebrate the human mind The legendary manager's stunning career Friends and foes on the incredible career of Sir Alex Ferguson, Britain's most decorated football manager How is John planning for his retirement? Majestic Mad Dads, some clownery, blue biros and special flake dust also feature in this episode Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,1.0
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.00027587893
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least 1,000 people have already been rescued, the US National Weather Service says. People reported stinging eyes and breathing difficulties after a ""mist"" appeared. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.19267209
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least 1,000 people have already been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.94993025
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least 1,000 people have already been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.9999999
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.00045582032
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.0011709209
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.0019884366
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.9999615
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.01511541
"  Four victims of Saturday's crash involving a minibus and two lorries are identified. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. At least five are reported dead and 1,000 have been rescued, the US National Weather Service says. Labour says the UK should stay in the single market and customs union for a period after leaving the EU. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. The crowd erupted in applause for those who worked to save victims of the tower block fire. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. The woman's death brings to 16 the number of people killed in the Spanish attacks 10 days ago. Firms that face shareholder revolts over executive pay will be publicly named, the PM says. The recently-completed Queensferry Crossing in Scotland will be opened by the Queen in September. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. Lewis Hamilton cut his championship deficit to Sebastian Vettel with victory in the Belgian Grand Prix - his 200th race. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,1.1765629e-08
"Claim:It takes longer today to get from Chester to Manchester than it did in 1962. Verdict:True, but the fastest service on that route now stops in more places. The vast majority of other routes have seen improvements in journey times. The Labour mayor of Greater Manchester, Andy Burnham, has argued that the north of England is underserved in terms of rail infrastructure. He told the Today programme on BBC Radio 4 that it now took rail passengers longer to make the journey from Chester to Manchester than in 1962. ""We cannot continually be put at the back of the queue,"" he said. ""People here -  taxpayers - here deserve a modern transport system on a par with London."" Figures from Transport for Greater Manchester (TfGM) indicate that Mr Burnham is correct. Its analysis of historical train timetables show that in 1962 the fastest service from Chester to Manchester took 56 minutes, stopping at one station in between. Today it takes 60 minutes but makes seven station stops. By contrast, according to TfGM, the fastest journey from Manchester to London in 1962 was 220 minutes. It is now 124 minutes, a reduction of nearly 44%. TfGM has also looked at how other journeys to and from Manchester have fared since 1962. All of them are now faster. Andy Burnham: North 'needs transport investment now' August Bank Holiday: Where to avoid on roads and rail A Department for Transport spokesperson said: ""We are committed to improving trans-Pennine services, and are working with Transport for the North to cut journey times and increase capacity between the major cities of the north. "" Journey times are not the only way to measure improvement (or otherwise) on Britain's railways, or how the rate of progress differs between regions. It is important to consider the number of passengers. They made 1.7bn journeys on Britain's train network in 2016-17, 79% more than in 1962. This is often given as a reason why most of the infrastructure investments carried out today focus on increasing capacity rather than speeding up journey times. Gary Cooper, the director of planning, engineering and operations at the industry body the Rail Delivery Group, said: ""The number of journeys has doubled in the last twenty years [after falling in the years following 1962] meaning there are more trains making more stops on a busier railway."" ""While this means journey times may not have reduced in some places, it has helped to connect more communities and drive economic growth."" But is it true that communities in the North are ""at the back of the queue"" when it comes to transport spending? Total government transport spending for England in 2011-2012 was Â£15.8bn. That covered all forms of transport. A third of it went to London, while only a quarter was spent on the North East, the North West, and the Yorkshire and Humber regions combined. By 2015-16 that had jumped to Â£24.3bn, and proportionate spending was roughly the same. No other English region comes close to receiving the amount spent on London - which includes the tube network and recently the Crossrail development. Transport Secretary Chris Grayling said in an article for the Yorkshire Post,externalthat ""unprecedented investment"" has been allocated to the North between 2015 and 2021. ""We are spending Â£13bn on Northern transport in this Parliament - the largest in government history."" A breakdown of that figure reveals Â£3.8bn is earmarked explicitly for rail enhancements. Looking ahead, it appears that London will still receive the lion's share of funding. The think tankIPPR North looked at planned spending on projects,externalthat were either funded publicly or by a combination of public and private investment. They excluded projects that spanned more than one region. They found that per person, spending in London was set to be considerably higher in from 2016-17 onwards: London: Â£1,900 North West: Â£680 North East: Â£220 Yorkshire and the Humber: Â£190 Read more from Reality Check Follow us on Twitter,external Surprise fall in inflation boosts interest rate cut hopes South Korea impeached president arrested after investigators scale walls Obesity needs new definition beyond BMI, says global report Red Sea dive-boat survivors accuse authorities of cover up Chris Mason: Political heat map flashes red over Treasury They hired Banksy for Â£50 then painted over his mural 'We sing to them': LA stables turn Noah's Ark for fire rescue animals Fatbergs turned into perfume - inside Britain's bizarre new industrial revolution Almost 100 strikes hit Gaza 'humanitarian zone', BBC Verify analysis suggests LA fire victims fear new housing crisis Trapped in the dark for 35 hours - Red Sea dive-boat survivors tell of terrifying escapes 'Your husband's being tortured, and it's your fault' The classic reality show starring Paris Hilton Can jet setters Paris Hilton and Nicole Richie give up their A-list lifestyles? Explore the brilliant mind of Socrates Naomi Alderman investigates notable thinkers with stories which celebrate the human mind The legendary manager's stunning career Friends and foes on the incredible career of Sir Alex Ferguson, Britain's most decorated football manager How is John planning for his retirement? Majestic Mad Dads, some clownery, blue biros and special flake dust also feature in this episode Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,1.0
